"Open","High","Low","Close","Contact","Open.Int","Rtn..1.Day","Rtn..1.Day.1","Rtn..2.Day","Date","Rtn..1.Day.Table","X","X.1","X.2","X.3","sma20","ema14","dn","mavg","up","pctB","rsi14","macd","signal"
1224,1232,1224,1227.05,482,519600,"0.82%","2.27%","3.63%","11/24/2000","","","","","",1232.9775,1231.33194409733,1184.66670953865,1232.9775,1281.28829046135,0.438652421711639,48.0283958418541,1.61311461948781,2.65776799737171
1234,1256.5,1233,1254.85,542,502400,"2.27%","1.33%","0.86%","11/27/2000","","","","","",1236.97,1234.46768488435,1195.81692721072,1236.97,1278.12307278928,0.717237727199031,55.2065681418964,1.12495109592332,2.52265997778629
1251.6,1273.5,1251.6,1271.55,498,520000,"1.33%","-0.46%","-0.17%","11/28/2000","","","","","",1241.4675,1239.41199356644,1206.27299368154,1241.4675,1276.66200631846,0.927374939256113,58.8806618665555,0.917418732726283,2.3087295250692
1274.9,1279.5,1255.5,1265.7,940,564400,"-0.46%","0.29%","1.34%","11/29/2000","","","","","",1244.3725,1242.91706109091,1211.31287999311,1244.3725,1277.43212000689,0.822561178796896,57.1134115251371,0.916273152775027,2.06197094838217
1181,1270,1181,1269.4,598,501200,"0.29%","1.05%","0.97%","11/30/2000","","","","","",1246.3025,1246.44811961212,1212.14885487975,1246.3025,1280.45614512025,0.838141066915068,57.9726000254015,0.786281792721466,1.78536682043515
1264,1285,1262.5,1282.7,1820,473200,"1.05%","-0.08%","0.62%","12/01/2000","","","","","",1247.9825,1251.28170366384,1210.3185613451,1247.9825,1285.6464386549,0.960885149560485,60.9973900052326,0.736995349352521,1.51603581265548
1285,1292.9,1276.15,1281.65,818,551200,"-0.08%","0.70%","1.52%","12/04/2000","","","","","",1249.7825,1255.330809842,1209.39408241525,1249.7825,1290.17091758475,0.894512856725962,60.6264130622796,0.749926179222404,1.27557755646975
1280,1294,1280,1290.6,1078,557600,"0.70%","0.82%","0.98%","12/05/2000","","","","","",1251.6175,1260.03336852973,1207.48612482315,1251.6175,1295.74887517685,0.941664233708811,62.7083414376002,0.729838585228859,1.07139409867205
1318,1320,1300,1301.15,388,564400,"0.82%","0.16%","1.21%","12/06/2000","","","","","",1253.3725,1265.5155860591,1204.54328256822,1253.3725,1302.20171743178,0.989230654441177,65.0540384056025,0.760621617203072,0.926157902737863
1304.45,1310,1298,1303.2,294,582400,"0.16%","1.05%","2.14%","12/07/2000","","","","","",1254.93,1270.54017458455,1202.0019790659,1254.93,1307.85802093409,0.955996645520764,65.5080470036737,0.892758137711946,0.846118293651655
1308,1318.8,1308,1316.9,510,638000,"1.05%","1.08%","1.34%","12/08/2000","","","","","",1258.625,1276.72148463995,1199.5796403178,1258.625,1317.6703596822,0.993476543403722,68.457332963911,1.24858890952968,0.859855828496806
1318.1,1332.5,1317.3,1331.1,320,648000,"1.08%","0.26%","1.50%","12/11/2000","","","","","",1264.51,1283.97195335462,1201.34920044838,1264.51,1327.67079955162,1.02714658833266,71.2056038302151,1.74908683285417,0.952263395177683
